

lastname, firstname, residentID, programID, name

Clay, Emmanuel, 31941595, IMD, Internal Medicine, 
Owen, Jasper, 53507128, XXX, NOT_MATCHED, 
Liu, August, 28162532, IMD, Internal Medicine, 
Garrett, Briella, 87004989, FMD, Family Medicine, 
Chang, Khloe, 24620727, FMD, Family Medicine, 
Powers, Nicole, 81147232, FMD, Family Medicine, 
Giles, Mavis, 35551187, FMD, Family Medicine, 
Bentley, Miles, 85369019, XXX, NOT_MATCHED, 
Rodgers, Kendra, 45814307, PDT, Pediatrics, 
Jacobson, Skyla, 55830421, PSY, Psychiatry, 
Ibarra, Thiago, 36624806, FMD, Family Medicine, 
Shelton, Noelle, 99076759, IMD, Internal Medicine, 
Sharp, Elsa, 81436680, XXX, NOT_MATCHED, 
Vincent, Jalen, 88735311, XXX, NOT_MATCHED, 
Carrillo, Pedro, 77298123, DRA, Diagnostic Radiology, 
Velazquez, Jensen, 36141586, DRA, Diagnostic Radiology, 
Berger, Demi, 97193603, PDT, Pediatrics, 
Jensen, Cecelia, 32905734, PSY, Psychiatry, 
Cantu, Alivia, 44211392, IMD, Internal Medicine, 
Stark, Sullivan, 88812259, FMD, Family Medicine, 
Huerta, Esperanza, 45479403, FMD, Family Medicine, 
Ware, Blakely, 52346633, DRA, Diagnostic Radiology, 
Wiggins, Mara, 95183351, XXX, NOT_MATCHED, 
Best, Xander, 99451414, OBG, Obstetrics and Gynecology, 
Stone, Maggie, 78888271, FMD, Family Medicine, 
Anthony, Aleah, 34638865, OBG, Obstetrics and Gynecology, 
Hopkins, Giana, 40280453, DRA, Diagnostic Radiology, 
Tyler, Eliana, 56122861, FMD, Family Medicine, 
Pearson, Santos, 95765903, FMD, Family Medicine, 
Moran, Alana, 93529608, IMD, Internal Medicine, 
Stuart, Melvin, 52203271, XXX, NOT_MATCHED, 
Ingram, Raegan, 23927178, FMD, Family Medicine, 
Conrad, Adam, 20787560, DMP, Diagnostic and Molecular Pathology, 
Wu, Xzavier, 74070164, XXX, NOT_MATCHED, 
Alexander, Elina, 25102362, IMD, Internal Medicine, 
Todd, Nathalie, 84279457, FMD, Family Medicine, 
Evans, Rocky, 75771868, IMD, Internal Medicine, 
Santos, Vienna, 77276517, FMD, Family Medicine, 
Sawyer, Xzavier, 51563034, XXX, NOT_MATCHED, 
Dennis, Bria, 95099941, XXX, NOT_MATCHED, 
Carson, Royce, 87806837, PMR, Physical Medicine & Rehabilitation, 
Flores, Chana, 62240207, GSU, General Surgery, 
McLaughlin, Finley, 95938090, PDT, Pediatrics, 
Montgomery, Ayaan, 19539766, XXX, NOT_MATCHED, 
Blevins, Hope, 13236161, IMD, Internal Medicine, 
Malone, Vienna, 68421674, FMD, Family Medicine, 
Craig, Vance, 17605643, XXX, NOT_MATCHED, 
Warner, Tadeo, 67946353, XXX, NOT_MATCHED, 
Case, Malia, 77074292, FMD, Family Medicine, 
Reed, Demi, 71047963, FMD, Family Medicine, 
Ball, Emerie, 78658090, FMD, Family Medicine, 
Krueger, Meadow, 78293698, FMD, Family Medicine, 
Arnold, Lochlan, 79905463, FMD, Family Medicine, 
Hayden, Louie, 27671752, XXX, NOT_MATCHED, 
Estrada, Alanna, 97915017, FMD, Family Medicine, 
Fisher, Imani, 52876013, FMD, Family Medicine, 
Boyd, Laurel, 91278004, PSY, Psychiatry, 
Webb, Amoura, 38187586, FMD, Family Medicine, 
Hess, Promise, 36544758, FMD, Family Medicine, 
Booker, Londyn, 40676066, XXX, NOT_MATCHED, 
Wright, Elaine, 54156097, IMD, Internal Medicine, 
Mathews, Kenia, 64361788, XXX, NOT_MATCHED, 
Juarez, Milani, 12726178, NRS, Neurosurgery, 
Sandoval, Camilla, 34288185, GSU, General Surgery, 
McDaniel, Jack, 19754121, XXX, NOT_MATCHED, 
Kelley, Lian, 42900092, XXX, NOT_MATCHED, 
Taylor, Jenna, 86198932, XXX, NOT_MATCHED, 
Mack, Sullivan, 62849268, FMD, Family Medicine, 
Vasquez, Monroe, 11983594, DRA, Diagnostic Radiology, 
Bautista, Tatum, 79243599, IMD, Internal Medicine, 
Harrell, Marco, 49601733, NRO, Neurology, 
McPherson, Desmond, 24914790, FMD, Family Medicine, 
Reed, Silas, 12882468, FMD, Family Medicine, 
Zavala, Elliott, 75315922, FMD, Family Medicine, 
Berry, Tatum, 81011873, FMD, Family Medicine, 
Wilcox, Nova, 76735028, XXX, NOT_MATCHED, 
Villalobos, Noah, 98275216, IMD, Internal Medicine, 
Griffin, Taylor, 34781029, FMD, Family Medicine, 
Beltran, Julia, 86876786, PSY, Psychiatry, 
Bean, Margot, 77945329, FMD, Family Medicine, 
Santiago, Asher, 68151036, ORS, Orthopedic Surgery, 
Rasmussen, Sutton, 64581639, FMD, Family Medicine, 
Foley, Andi, 93581995, FMD, Family Medicine, 
Tang, Lilyana, 40108372, FMD, Family Medicine, 
Cordova, Damari, 99515951, XXX, NOT_MATCHED, 
Pugh, Remington, 30208257, IMD, Internal Medicine, 
French, Bishop, 88405328, FMD, Family Medicine, 
Glover, Alison, 72327421, XXX, NOT_MATCHED, 
Phelps, Malachi, 78176406, XXX, NOT_MATCHED, 
Conley, Vihaan, 41092932, FMD, Family Medicine, 
Ruiz, Bode, 11709566, XXX, NOT_MATCHED, 
Carrillo, Valentin, 22881549, PDT, Pediatrics, 
Stein, Ashley, 92770269, GSU, General Surgery, 
Sexton, Saige, 73392257, IMD, Internal Medicine, 
Peck, Sarai, 26164219, XXX, NOT_MATCHED, 
Atkinson, Jared, 80433750, XXX, NOT_MATCHED, 
Michael, Leighton, 52568334, FMD, Family Medicine, 
Fitzgerald, Cairo, 71825695, XXX, NOT_MATCHED, 
Watts, Leandro, 57371287, FMD, Family Medicine, 
Young, Katherine, 79356081, XXX, NOT_MATCHED, 
Ryan, Madalyn, 88391326, FMD, Family Medicine, 
Moon, Danny, 25746091, XXX, NOT_MATCHED, 
Moss, Finnegan, 96839373, FMD, Family Medicine, 
Hodge, Uriel, 74266690, IMD, Internal Medicine, 
Hughes, Dior, 48663965, XXX, NOT_MATCHED, 
Rasmussen, Meilani, 59496102, FMD, Family Medicine, 
Sanchez, Abby, 31897658, XXX, NOT_MATCHED, 
Holt, Wrenley, 91083072, PSY, Psychiatry, 
Frederick, Zoe, 99795856, ANT, Anesthesiology, 
Murray, Hakeem, 37852053, DRA, Diagnostic Radiology, 
Harrell, Guillermo, 85444203, NRS, Neurosurgery, 
Stone, Avianna, 47250882, PSY, Psychiatry, 
Wolf, Zyaire, 44992594, XXX, NOT_MATCHED, 
Mora, Kayla, 68809708, IMD, Internal Medicine, 
Vo, Sam, 60905779, GSU, General Surgery, 
Carson, Westin, 93750208, GSU, General Surgery, 
Clements, Maximo, 13960430, IMD, Internal Medicine, 
Santos, Creed, 72173559, FMD, Family Medicine, 
Pennington, Conrad, 70196216, IMD, Internal Medicine, 
Robles, Mohammad, 11272456, XXX, NOT_MATCHED, 
Boone, Amir, 73566896, FMD, Family Medicine, 
Burns, Beckett, 54323373, FMD, Family Medicine, 
Ochoa, Fabian, 55010839, XXX, NOT_MATCHED, 
Carson, Nathaniel, 98969171, PSY, Psychiatry, 
Little, Dustin, 54632679, IMD, Internal Medicine, 
Berger, Kenji, 50632436, FMD, Family Medicine, 
Clayton, Kelvin, 33237601, OTO, Otolaryngology - Head and Neck Surgery, 
Rocha, Lilly, 17388433, FMD, Family Medicine, 
Sharp, Rory, 22570779, FMD, Family Medicine, 
McKenzie, Ruth, 42217514, XXX, NOT_MATCHED, 
Mullins, Killian, 57631444, FMD, Family Medicine, 
Daniel, Anika, 42782453, FMD, Family Medicine, 
Williamson, Royalty, 37434832, FMD, Family Medicine, 
Spears, Kennedy, 70043047, DMP, Diagnostic and Molecular Pathology, 
Case, Gracelyn, 72156318, PSY, Psychiatry, 
Donaldson, Aubree, 39219931, VSU, Vascular Surgery, 
Fuentes, Foster, 43148701, PSY, Psychiatry, 
Stein, Jeffery, 14191807, XXX, NOT_MATCHED, 
Shelton, Emmalyn, 55059193, PSY, Psychiatry, 
Andrews, Troy, 38645047, XXX, NOT_MATCHED, 
Felix, Marley, 97129810, XXX, NOT_MATCHED, 
Pineda, Kayson, 78427817, DCP, Diagnostic and Clinical Pathology, 
Esquivel, Jake, 88084108, PSY, Psychiatry, 
Ali, Maxwell, 51748985, XXX, NOT_MATCHED, 
Fowler, Sawyer, 59179760, FMD, Family Medicine, 
Livingston, Royal, 81267142, PDT, Pediatrics, 
Cross, Adriana, 62091726, NRS, Neurosurgery, 
Pham, Mya, 22971924, FMD, Family Medicine, 
Austin, Legend, 41498655, FMD, Family Medicine, 
McDaniel, Augustus, 91996917, ORS, Orthopedic Surgery, 
Meyer, Yehuda, 80124826, PSY, Psychiatry, 
Tucker, Vicente, 15392228, XXX, NOT_MATCHED, 
Watson, Hayden, 14775465, IMD, Internal Medicine, 
Correa, Killian, 84335969, XXX, NOT_MATCHED, 
Enriquez, Morgan, 48438279, FMD, Family Medicine, 
McKay, Jakari, 23505415, XXX, NOT_MATCHED, 
Miles, Pedro, 49090794, XXX, NOT_MATCHED, 
Simmons, Briella, 42322879, IMD, Internal Medicine, 
Huber, Aryan, 48237498, XXX, NOT_MATCHED, 
Barnes, Khloe, 84337264, EMD, Emergency Medicine, 
Hail, Ayla, 98218311, IMD, Internal Medicine, 
Hall, Aydin, 86139839, OPH, Ophthalmology, 
Nolan, Samira, 26277533, FMD, Family Medicine, 
Spence, Dax, 71865530, IMD, Internal Medicine, 
Arellano, Egypt, 61806469, XXX, NOT_MATCHED, 
Walsh, Jianna, 24675035, IMD, Internal Medicine, 
Ball, Kassidy, 17739763, FMD, Family Medicine, 
Moran, Paislee, 36478466, OPH, Ophthalmology, 
Ventura, Salem, 69634551, FMD, Family Medicine, 
Francis, Raegan, 35830971, PDT, Pediatrics, 
Schultz, Juliette, 82394398, XXX, NOT_MATCHED, 
Ward, Kason, 39654115, FMD, Family Medicine, 
Lloyd, Reign, 68502118, OBG, Obstetrics and Gynecology, 
Ramsey, Ismael, 40934161, FMD, Family Medicine, 
Jimenez, Genesis, 18434215, FMD, Family Medicine, 
Lowery, Kody, 78532176, URO, Urology, 
Lara, Melanie, 77030823, FMD, Family Medicine, 
Hanna, Kashton, 17975879, ANT, Anesthesiology, 
Beasley, Lyric, 98418689, FMD, Family Medicine, 
Fields, Joel, 50760762, ANT, Anesthesiology, 
Joseph, Sincere, 95792950, FMD, Family Medicine, 
Gates, Ander, 85027551, FMD, Family Medicine, 
Johnson, Wesson, 66554317, FMD, Family Medicine, 
Lucero, Ronald, 78996428, XXX, NOT_MATCHED, 
Miller, Gary, 42586975, XXX, NOT_MATCHED, 
Shannon, Ryan, 48455548, FMD, Family Medicine, 
Garner, Aubrielle, 67240376, IMD, Internal Medicine, 
Hart, Catalina, 97901958, OBG, Obstetrics and Gynecology, 
Vaughan, Simon, 32268116, XXX, NOT_MATCHED, 
Tanner, Dakota, 99289151, FMD, Family Medicine, 
Greer, Khalil, 41822250, XXX, NOT_MATCHED, 
Boyd, Makayla, 16658293, IMD, Internal Medicine, 
Webster, Alijah, 79049056, XXX, NOT_MATCHED, 
Berger, Lyric, 67037466, DRA, Diagnostic Radiology, 
Benton, Annabelle, 18371422, URO, Urology, 
Poole, Grace, 62638632, NRS, Neurosurgery, 
Fernandez, Megan, 24923813, FMD, Family Medicine, 
Abbott, Keilani, 69129390, XXX, NOT_MATCHED, 
Arroyo, Tate, 59778466, FMD, Family Medicine, 
Silva, Kingston, 14878044, NRO, Neurology, 
Barnett, Zaylee, 58201169, OBG, Obstetrics and Gynecology, 
Valdez, Reed, 92565905, FMD, Family Medicine, 
Horn, Blake, 35585665, PSY, Psychiatry, 
Whitaker, Lia, 95028398, XXX, NOT_MATCHED, 
Robertson, Elaine, 35057902, FMD, Family Medicine, 
Garner, Landon, 16766235, FMD, Family Medicine, 
Weeks, Landry, 98892759, XXX, NOT_MATCHED, 
Ventura, Azariah, 11451102, PDT, Pediatrics, 
Rivers, Sloane, 29036313, PMR, Physical Medicine & Rehabilitation, 
Hodge, Lucy, 67573081, FMD, Family Medicine, 
Middleton, Asher, 38325592, XXX, NOT_MATCHED, 
Santiago, Holden, 47965686, FMD, Family Medicine, 
Norris, Vance, 47453140, XXX, NOT_MATCHED, 
Pitts, Dulce, 60198584, IMD, Internal Medicine, 
McCoy, Gerardo, 28836231, FMD, Family Medicine, 
Blair, Drake, 14952888, FMD, Family Medicine, 
O’Donnell, Amora, 74633132, FMD, Family Medicine, 
Lawrence, Lydia, 58713773, XXX, NOT_MATCHED, 
Hamilton, Jase, 71620934, FMD, Family Medicine, 
Clark, Ray, 84167750, IMD, Internal Medicine, 
Abbott, Kason, 55954584, PSY, Psychiatry, 
Rodgers, Kaylani, 99742238, FMD, Family Medicine, 
Berg, Giavanna, 60397019, ANT, Anesthesiology, 
Walls, Stevie, 26625442, FMD, Family Medicine, 
Hendrix, Liam, 31642197, FMD, Family Medicine, 
Alexander, Clara, 76164039, FMD, Family Medicine, 
Lewis, Dariel, 27662558, FMD, Family Medicine, 
Blackwell, Jillian, 70912797, FMD, Family Medicine, 
Hogan, Anahi, 38707959, OBG, Obstetrics and Gynecology, 
Hutchinson, Zyaire, 16487074, NRO, Neurology, 
Cisneros, Maxton, 34696065, NRO, Neurology, 
Washington, Clarissa, 29024974, XXX, NOT_MATCHED, 
Collier, Brooks, 38930782, IMD, Internal Medicine, 
Houston, Ameer, 38150355, FMD, Family Medicine, 
Blanchard, Veda, 73180005, FMD, Family Medicine, 
Solomon, Lucas, 92977780, FMD, Family Medicine, 
Hail, Marlee, 48164971, FMD, Family Medicine, 
Bender, Alberto, 44776106, FMD, Family Medicine, 
Lam, Chanel, 38731902, XXX, NOT_MATCHED, 
Schmitt, Aniya, 48342253, FMD, Family Medicine, 
Greene, Titan, 45959071, FMD, Family Medicine, 
Rios, Kylian, 65924509, FMD, Family Medicine, 
Bullock, Addisyn, 98220485, IMD, Internal Medicine, 
George, Sergio, 41870460, XXX, NOT_MATCHED, 
Blackburn, Adley, 92477911, PDT, Pediatrics, 
Gomez, Devon, 67972668, FMD, Family Medicine, 
Phan, Hector, 77964040, IMD, Internal Medicine, 
Franco, Preston, 27680735, PSY, Psychiatry, 
Murray, Elijah, 38331329, FMD, Family Medicine, 
Kirk, Summer, 79308086, XXX, NOT_MATCHED, 
Wheeler, Rosie, 14014483, XXX, NOT_MATCHED, 
Vazquez, Yehuda, 28591227, ORS, Orthopedic Surgery, 
Villarreal, Jamari, 45934040, PDT, Pediatrics, 
Ramirez, Kody, 66291937, FMD, Family Medicine, 
Robinson, Jolie, 90262653, XXX, NOT_MATCHED, 
Merritt, Case, 93370252, FMD, Family Medicine, 
Mayer, Lauryn, 92325488, XXX, NOT_MATCHED, 
Sutton, Aviana, 44026365, FMD, Family Medicine, 
Webster, Maverick, 46229541, NRO, Neurology, 
Frost, Tanner, 83176523, OBG, Obstetrics and Gynecology, 
Kelley, Lauryn, 15732193, FMD, Family Medicine, 
Donaldson, Amayah, 82415187, ANT, Anesthesiology, 
Kline, Brian, 91339513, FMD, Family Medicine, 
Moore, Calum, 68518012, PSY, Psychiatry, 
Lucero, Prince, 35600462, XXX, NOT_MATCHED, 
Ortega, Helen, 27185793, XXX, NOT_MATCHED, 
Hess, Johnny, 21182511, PSY, Psychiatry, 
Hughes, Brayan, 13224723, URO, Urology, 
Curtis, Eden, 33759870, ORS, Orthopedic Surgery, 
Livingston, Colson, 20921219, IMD, Internal Medicine, 
Morton, Kamdyn, 57615591, FMD, Family Medicine, 
Nunez, Dayton, 57267826, FMD, Family Medicine, 
Bruce, Harlow, 18173212, OTO, Otolaryngology - Head and Neck Surgery, 
Morse, Maximiliano, 30508889, XXX, NOT_MATCHED, 
Hubbard, Kylo, 83232253, NRS, Neurosurgery, 
Thornton, Samantha, 96333300, GSU, General Surgery, 
McGuire, Journey, 52238816, FMD, Family Medicine, 
Juarez, Muhammad, 91137674, XXX, NOT_MATCHED, 
Bowers, Samantha, 72009780, XXX, NOT_MATCHED, 
Santiago, Jaylin, 46313829, FMD, Family Medicine, 
Mays, Alivia, 22497511, XXX, NOT_MATCHED, 
Barrett, Madison, 84303952, XXX, NOT_MATCHED, 
Morales, Mateo, 23224223, MGG, Medical Genetics and Genomics, 
Ballard, Averi, 73220964, XXX, NOT_MATCHED, 
Thomas, Saylor, 19883248, DRA, Diagnostic Radiology, 
Kennedy, Emerald, 55901142, FMD, Family Medicine, 
Delarosa, Rory, 31541234, XXX, NOT_MATCHED, 
Hanna, Leilani, 78124906, IMD, Internal Medicine, 
Arellano, Santana, 31830370, FMD, Family Medicine, 
Park, Royalty, 54217993, ANT, Anesthesiology, 
Harrison, Muhammad, 42903251, FMD, Family Medicine, 
Horn, Elliot, 19627272, FMD, Family Medicine, 
Elliott, Lucia, 65190859, FMD, Family Medicine, 
Cardenas, Kaleb, 95546095, FMD, Family Medicine, 
Briggs, Nicholas, 65049914, FMD, Family Medicine, 
Castillo, Shepard, 93920216, XXX, NOT_MATCHED, 
Sosa, Violet, 46230304, FMD, Family Medicine, 
Lam, Aubrey, 60712984, XXX, NOT_MATCHED, 
Huff, Zaria, 93874103, PDT, Pediatrics, 
Fry, Duncan, 27041214, FMD, Family Medicine, 
Craig, Angelina, 28122869, PSY, Psychiatry, 
Adkins, Marisol, 77324258, IMD, Internal Medicine, 
Byrd, Danna, 46967752, IMD, Internal Medicine, 
Benson, Emilia, 49041213, FMD, Family Medicine, 
Murphy, Gavin, 70529691, FMD, Family Medicine, 
Wiley, Larry, 15688880, FMD, Family Medicine, 
Zuniga, Isaiah, 74687885, FMD, Family Medicine, 
Lopez, Anne, 65151353, PDT, Pediatrics, 
Melendez, Yaretzi, 95090954, ANT, Anesthesiology, 
Santana, Iyla, 91475180, IMD, Internal Medicine, 
Crosby, Saul, 96907791, FMD, Family Medicine, 
Weiss, Aila, 94818139, FMD, Family Medicine, 
Hanna, Lochlan, 34731189, XXX, NOT_MATCHED, 
Coffey, Karina, 51475086, XXX, NOT_MATCHED, 
Snow, Cain, 91981213, FMD, Family Medicine, 
Reeves, Aries, 59206199, FMD, Family Medicine, 
Leblanc, Ayla, 75488229, XXX, NOT_MATCHED, 
Gaines, Ensley, 25265343, IMD, Internal Medicine, 
Orr, Lydia, 94752387, PDT, Pediatrics, 
Davis, Sage, 10452352, DRA, Diagnostic Radiology, 
Jenkins, Emerson, 41120622, FMD, Family Medicine, 
Wolf, Legend, 50156963, FMD, Family Medicine, 
Pitts, Emanuel, 10234640, FMD, Family Medicine, 
Rhodes, Annabella, 74171931, XXX, NOT_MATCHED, 
Terrell, Sean, 97865059, XXX, NOT_MATCHED, 
O’Neal, Adelaide, 20933864, FMD, Family Medicine, 
Spencer, Aleah, 84142315, XXX, NOT_MATCHED, 
Shelton, Cody, 77040216, GSU, General Surgery, 
Foster, Aarya, 43955496, OBG, Obstetrics and Gynecology, 
Simpson, Cassidy, 83211107, FMD, Family Medicine, 
Wong, Kassidy, 73643104, XXX, NOT_MATCHED, 
Blair, Sasha, 33221655, FMD, Family Medicine, 
Nguyen, Karina, 23727037, PDT, Pediatrics, 
Bauer, Madisyn, 91834309, XXX, NOT_MATCHED, 
Yoder, Lucille, 45858220, PSY, Psychiatry, 
O’Connor, Claire, 17449712, ANT, Anesthesiology, 
Goodman, Lee, 56443510, FMD, Family Medicine, 
Cobb, Kamden, 22911353, XXX, NOT_MATCHED, 
Taylor, Halle, 55892395, XXX, NOT_MATCHED, 
Foster, Fabian, 60289098, FMD, Family Medicine, 
Macdonald, Amoura, 26247467, XXX, NOT_MATCHED, 
Fuller, Paxton, 74304941, DRA, Diagnostic Radiology, 
Carr, Scarlet, 95275252, FMD, Family Medicine, 
Sosa, London, 92552715, FMD, Family Medicine, 
Monroe, Emmie, 31115077, FMD, Family Medicine, 
Dunn, Avianna, 10807375, FMD, Family Medicine, 
Erickson, Maggie, 40508390, XXX, NOT_MATCHED, 
Herrera, Corbin, 39785484, DRA, Diagnostic Radiology, 
McIntyre, Kase, 72156548, DMP, Diagnostic and Molecular Pathology, 
Hensley, Aleah, 76815163, FMD, Family Medicine, 
Robinson, Jasmine, 31109679, FMD, Family Medicine, 
Keith, Amora, 89785070, XXX, NOT_MATCHED, 
Price, Wes, 84205572, XXX, NOT_MATCHED, 
Le, Shay, 99619922, OBG, Obstetrics and Gynecology, 
Meza, Addison, 38367130, FMD, Family Medicine, 
Sanders, Dakari, 39054201, FMD, Family Medicine, 
Moyer, Presley, 62220413, XXX, NOT_MATCHED, 
Briggs, Etta, 25396311, IMD, Internal Medicine, 
Lawrence, Aarav, 53343462, FMD, Family Medicine, 
Montgomery, Laylani, 87384783, XXX, NOT_MATCHED, 
Huffman, Gwendolyn, 18018695, NRO, Neurology, 
Nash, Josie, 12653442, FMD, Family Medicine, 
Ingram, Melanie, 47308238, IMD, Internal Medicine, 
Hughes, Tate, 77523463, FMD, Family Medicine, 
House, Sarah, 31211476, FMD, Family Medicine, 
Arellano, Marlowe, 62741800, NRP, Neurology - Pediatric, 
Travis, Rhea, 55557120, XXX, NOT_MATCHED, 
Friedman, Nola, 61150692, IMD, Internal Medicine, 
Black, Tripp, 28629050, PDT, Pediatrics, 
Macias, Kyson, 81212350, ANT, Anesthesiology, 
Underwood, Mila, 10491316, DMT, Dermatology, 
Sloan, Kase, 33607566, PSU, Plastic Surgery, 
Douglas, Princess, 68244191, PDT, Pediatrics, 
Peterson, Berkley, 60592830, XXX, NOT_MATCHED, 
Liu, Santiago, 14444804, XXX, NOT_MATCHED, 
Blake, Esther, 32197748, ANT, Anesthesiology, 
Haynes, Cecelia, 13834959, FMD, Family Medicine, 
Gallagher, Ainhoa, 76259372, XXX, NOT_MATCHED, 
Dunlap, Damian, 34707689, XXX, NOT_MATCHED, 
Vargas, Ashton, 77273203, IMD, Internal Medicine, 
Glenn, Samantha, 62498772, FMD, Family Medicine, 
Austin, Alayna, 51265117, XXX, NOT_MATCHED, 
Frost, Keanu, 32974199, FMD, Family Medicine, 
Shah, Jaelynn, 61265654, XXX, NOT_MATCHED, 
Freeman, Armando, 65389883, ANT, Anesthesiology, 
Watkins, Mckenzie, 11724757, OBG, Obstetrics and Gynecology, 
Dougherty, Jameson, 47073811, XXX, NOT_MATCHED, 
Meyers, Evelynn, 76269105, FMD, Family Medicine, 
Barber, Kaiser, 89914086, FMD, Family Medicine, 
Merritt, Promise, 17039596, XXX, NOT_MATCHED, 
Jones, Andi, 85809693, XXX, NOT_MATCHED, 
Bradley, Janelle, 24273703, FMD, Family Medicine, 
Koch, Emmie, 10141447, ANT, Anesthesiology, 
Sutton, Everest, 64910085, PDT, Pediatrics, 
Diaz, Robin, 24890349, GSU, General Surgery, 
Sanders, Brynn, 53290774, PSY, Psychiatry, 
Riley, Marianna, 75492689, FMD, Family Medicine, 
Dunlap, Forest, 54678963, EMD, Emergency Medicine, 
Maldonado, Zion, 70964731, FMD, Family Medicine, 
Fisher, Haisley, 64864508, IMD, Internal Medicine, 
Pruitt, Trenton, 15419091, FMD, Family Medicine, 
Rich, Kyng, 91740398, FMD, Family Medicine, 
Blanchard, Taylor, 27654514, FMD, Family Medicine, 
McDaniel, Damien, 89085497, XXX, NOT_MATCHED, 
Hoffman, Miley, 16433738, XXX, NOT_MATCHED, 
Knox, Zeke, 98180804, URO, Urology, 
Hoover, Kayden, 82405054, IMD, Internal Medicine, 
Goodman, Bianca, 89692219, XXX, NOT_MATCHED, 
Combs, Frederick, 73639226, FMD, Family Medicine, 
Fitzpatrick, Willie, 90578688, PSY, Psychiatry, 
Nolan, Journey, 82540944, EMD, Emergency Medicine, 
Rios, Emmitt, 18648610, IMD, Internal Medicine, 
McCarty, Yasmin, 11367298, XXX, NOT_MATCHED, 
Villarreal, Branson, 44772534, ANT, Anesthesiology, 
Flynn, Kaden, 91661659, PSY, Psychiatry, 
Wilson, Denisse, 52565225, IMD, Internal Medicine, 
Lucas, Danna, 72919571, PHP, Public Health and Preventive Medicine, 
Blankenship, Salvador, 94260796, FMD, Family Medicine, 
Garza, Harleigh, 55585731, FMD, Family Medicine, 
Montoya, Jane, 47910370, FMD, Family Medicine, 
Pham, Luciano, 38577835, DRA, Diagnostic Radiology, 
Hull, Ronin, 57615907, DCP, Diagnostic and Clinical Pathology, 
Rubio, Josephine, 88276454, IMD, Internal Medicine, 
Keller, Jessica, 94472264, IMD, Internal Medicine, 
Chambers, Journey, 84733396, XXX, NOT_MATCHED, 
George, Khalil, 79572619, FMD, Family Medicine, 
Beck, Jaylee, 76987234, OBG, Obstetrics and Gynecology, 
Matthews, Kimora, 71340396, FMD, Family Medicine, 
Moon, Aileen, 69797179, OBG, Obstetrics and Gynecology, 
Wu, Wade, 25500672, XXX, NOT_MATCHED, 
Walls, Zyair, 67288042, FMD, Family Medicine, 
Wyatt, Angelo, 39076423, ORS, Orthopedic Surgery, 
Wilkerson, Aziel, 22890978, ORS, Orthopedic Surgery, 
Daniels, Maxwell, 62124562, XXX, NOT_MATCHED, 
Vance, Daisy, 42948248, IMD, Internal Medicine, 
Koch, Kian, 10656938, XXX, NOT_MATCHED, 
Mayo, Sariyah, 66671744, IMD, Internal Medicine, 
McConnell, Jedidiah, 37321724, FMD, Family Medicine, 
Portillo, Heaven, 51313135, FMD, Family Medicine, 
Morrison, Jad, 77565952, DMP, Diagnostic and Molecular Pathology, 
Enriquez, Ansley, 15306984, PSY, Psychiatry, 
Valdez, Kali, 88553334, ANT, Anesthesiology, 
Montes, Greyson, 93341618, FMD, Family Medicine, 
Mahoney, Keenan, 62408127, XXX, NOT_MATCHED, 
Lozano, Wade, 54573778, NRO, Neurology, 
McLaughlin, Logan, 49692765, FMD, Family Medicine, 
Bradford, Kenzo, 21058145, XXX, NOT_MATCHED, 
Daniels, Curtis, 25912235, FMD, Family Medicine, 
Wang, Zola, 61732381, EMD, Emergency Medicine, 
Benjamin, Nathan, 41342275, NRO, Neurology, 
Hendrix, Langston, 27421043, DMP, Diagnostic and Molecular Pathology, 
Frye, Keyla, 92853075, OBG, Obstetrics and Gynecology, 
Fletcher, Israel, 74379270, ANT, Anesthesiology, 
Peralta, Frederick, 47885450, ORS, Orthopedic Surgery, 
Duncan, Waverly, 79551214, XXX, NOT_MATCHED, 
Cox, Ronald, 96784245, FMD, Family Medicine, 
Villanueva, Giana, 75688397, EMD, Emergency Medicine, 
O’Neal, Mara, 79078912, FMD, Family Medicine, 
Lindsey, Jayce, 35957117, IMD, Internal Medicine, 
Ware, Thatcher, 83076678, ORS, Orthopedic Surgery, 
Banks, Ashlynn, 57566707, FMD, Family Medicine, 
Moore, Jaylee, 95390169, XXX, NOT_MATCHED, 
Prince, Eli, 75734010, FMD, Family Medicine, 
Moyer, Alianna, 27526089, IMD, Internal Medicine, 
Meadows, Flora, 45812316, XXX, NOT_MATCHED, 
Morris, Milo, 61633945, NRS, Neurosurgery, 
Hill, Andre, 12014472, DMT, Dermatology, 
Skinner, Halle, 93517396, FMD, Family Medicine, 
Jensen, Layne, 75751750, IMD, Internal Medicine, 
Rasmussen, Vada, 14989247, XXX, NOT_MATCHED, 
Kirby, Kamila, 24280822, PSY, Psychiatry, 
Garza, Zain, 78032468, ORS, Orthopedic Surgery, 
Nava, Dalton, 96350478, DRA, Diagnostic Radiology, 
Villanueva, Bo, 47301387, URO, Urology, 
Tucker, Angie, 10093406, FMD, Family Medicine, 
Wells, Kaysen, 75410243, XXX, NOT_MATCHED, 
Russell, Caiden, 80390930, MMI, Medical Microbiology, 
Lambert, Colter, 37111857, XXX, NOT_MATCHED, 
Barnes, Landon, 77062941, XXX, NOT_MATCHED, 
Stokes, Omar, 57971555, FMD, Family Medicine, 
Archer, Uriah, 42812247, IMD, Internal Medicine, 
